vendor,source,ok,parser_used,rows_extracted,rows_cataloged,input_missing_before,unknown_before_guarantee,unknown_after_guarantee,bad_required_columns
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-100f-series.pdf,True,order,6,6,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-fortiwifi-60f-series.pdf,True,order,2,2,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-200f-series.pdf,True,order,3,3,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-fortiwifi-50g-series.pdf,True,order,19,19,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-120g-series.pdf,True,order,3,3,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-fortiwifi-80f-series.pdf,True,order,26,26,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-1000f-series.pdf,True,order,24,24,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-400f-series.pdf,True,order,7,7,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortiswitch-campus-series.pdf,True,order,30,30,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-600f-series.pdf,True,order,9,9,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-200g-series.pdf,True,order,4,4,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-fortiwifi-30g-series.pdf,True,order,7,7,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-900g-series.pdf,True,order,12,12,True,True,False,
Fortinet,https://www.fortinet.com/content/dam/fortinet/assets/data-sheets/pdf/fortigate-fortiwifi-40f-series.pdf,True,order,3,3,True,True,False,
